[INFO] - 2021-07-22 07:33:13,762 - 12 tickers got from the DB
[INFO] - 2021-07-22 07:33:14,242 - The database is cleaned
[INFO] - 2021-07-22 07:33:14,297 - 0 tickers got from the DB
[INFO] - 2021-07-22 07:33:14,298 - All tickers are deleted from the DB
[INFO] - 2021-07-22 07:33:14,347 - 20 tickers inserted in DB
[INFO] - 2021-07-22 07:33:14,347 - 20 tickers got from the DB
[INFO] - 2021-07-22 07:33:14,348 - Reading data from Yahoo Finance
[INFO] - 2021-07-22 07:33:18,220 - YFinance data load call. Start date: 2016-08-17. Finish date: 2021-07-22
[INFO] - 2021-07-22 07:33:18,223 - Inserting data into the DB
