[INFO] - 2021-07-26 06:10:31,871 - 12 tickers got from the DB
[INFO] - 2021-07-26 06:10:32,447 - The database is cleaned
[INFO] - 2021-07-26 06:10:32,529 - 0 tickers got from the DB
[INFO] - 2021-07-26 06:10:32,529 - All tickers are deleted from the DB
[INFO] - 2021-07-26 06:10:32,577 - 12 tickers inserted in DB
[INFO] - 2021-07-26 06:10:32,578 - 12 tickers got from the DB
[INFO] - 2021-07-26 06:10:32,578 - Reading data from Yahoo Finance
[INFO] - 2021-07-26 06:10:35,140 - YFinance data load call. Start date: 2016-08-21. Finish date: 2021-07-26
[INFO] - 2021-07-26 06:10:35,142 - Inserting data into the DB
[INFO] - 2021-07-26 06:35:38,670 - 12 tickers got from the DB
