[INFO] - 2021-08-16 17:30:28,957 - 508 tickers got from the DB
[INFO] - 2021-08-16 17:30:29,032 - The database is cleaned
[INFO] - 2021-08-16 17:30:29,090 - 0 tickers got from the DB
[INFO] - 2021-08-16 17:30:29,090 - All tickers are deleted from the DB
[INFO] - 2021-08-16 17:30:29,157 - 509 tickers inserted in DB
[INFO] - 2021-08-16 17:30:29,157 - 508 tickers got from the DB
[INFO] - 2021-08-16 17:30:29,158 - Reading data from Yahoo Finance
[INFO] - 2021-08-16 17:30:32,955 - 508 tickers got from the DB
[INFO] - 2021-08-16 17:30:32,955 - 508 tickers got from the DB
[INFO] - 2021-08-16 17:30:33,590 - The database is cleaned
[INFO] - 2021-08-16 17:30:33,590 - The database is cleaned
[INFO] - 2021-08-16 17:30:33,648 - 0 tickers got from the DB
[INFO] - 2021-08-16 17:30:33,648 - 0 tickers got from the DB
[INFO] - 2021-08-16 17:30:33,648 - All tickers are deleted from the DB
[INFO] - 2021-08-16 17:30:33,648 - All tickers are deleted from the DB
[INFO] - 2021-08-16 17:30:33,715 - 509 tickers inserted in DB
[INFO] - 2021-08-16 17:30:33,715 - 509 tickers inserted in DB
[INFO] - 2021-08-16 17:30:33,715 - 508 tickers got from the DB
[INFO] - 2021-08-16 17:30:33,715 - 508 tickers got from the DB
[INFO] - 2021-08-16 17:30:33,716 - Reading data from Yahoo Finance
[INFO] - 2021-08-16 17:30:33,716 - Reading data from Yahoo Finance
[INFO] - 2021-08-16 17:33:11,300 - YFinance data load call. Start date: 2021-08-11. Finish date: 2021-08-16
[INFO] - 2021-08-16 17:33:11,300 - YFinance data load call. Start date: 2021-08-11. Finish date: 2021-08-16
[INFO] - 2021-08-16 17:33:11,355 - YFinance data load call. Start date: 2021-08-11. Finish date: 2021-08-16
[INFO] - 2021-08-16 17:33:11,355 - YFinance data load call. Start date: 2021-08-11. Finish date: 2021-08-16
[INFO] - 2021-08-16 17:33:11,381 - Inserting data into the DB
[INFO] - 2021-08-16 17:33:11,381 - Inserting data into the DB
[INFO] - 2021-08-16 17:33:11,381 - Inserting data into the DB
[INFO] - 2021-08-16 17:33:11,381 - Inserting data into the DB
