[INFO] - 2021-08-09 08:52:07,976 - 16 tickers got from the DB
[INFO] - 2021-08-09 08:52:08,459 - The database is cleaned
[INFO] - 2021-08-09 08:52:08,532 - 0 tickers got from the DB
[INFO] - 2021-08-09 08:52:08,532 - All tickers are deleted from the DB
[INFO] - 2021-08-09 08:52:08,613 - 509 tickers inserted in DB
[INFO] - 2021-08-09 08:52:08,614 - 508 tickers got from the DB
[INFO] - 2021-08-09 08:52:08,614 - Reading data from Yahoo Finance
[INFO] - 2021-08-09 08:52:11,972 - 508 tickers got from the DB
[INFO] - 2021-08-09 08:52:11,972 - 508 tickers got from the DB
[INFO] - 2021-08-09 08:52:12,135 - The database is cleaned
[INFO] - 2021-08-09 08:52:12,135 - The database is cleaned
[INFO] - 2021-08-09 08:52:12,194 - 0 tickers got from the DB
[INFO] - 2021-08-09 08:52:12,194 - 0 tickers got from the DB
[INFO] - 2021-08-09 08:52:12,194 - All tickers are deleted from the DB
[INFO] - 2021-08-09 08:52:12,194 - All tickers are deleted from the DB
[INFO] - 2021-08-09 08:52:12,267 - 509 tickers inserted in DB
[INFO] - 2021-08-09 08:52:12,267 - 509 tickers inserted in DB
[INFO] - 2021-08-09 08:52:12,268 - 508 tickers got from the DB
[INFO] - 2021-08-09 08:52:12,268 - 508 tickers got from the DB
[INFO] - 2021-08-09 08:52:12,268 - Reading data from Yahoo Finance
[INFO] - 2021-08-09 08:52:12,268 - Reading data from Yahoo Finance
[INFO] - 2021-08-09 08:53:55,830 - YFinance data load call. Start date: 2021-08-04. Finish date: 2021-08-09
[INFO] - 2021-08-09 08:53:55,830 - YFinance data load call. Start date: 2021-08-04. Finish date: 2021-08-09
[INFO] - 2021-08-09 08:53:55,897 - YFinance data load call. Start date: 2021-08-04. Finish date: 2021-08-09
[INFO] - 2021-08-09 08:53:55,897 - YFinance data load call. Start date: 2021-08-04. Finish date: 2021-08-09
[INFO] - 2021-08-09 08:53:55,965 - Inserting data into the DB
[INFO] - 2021-08-09 08:53:55,965 - Inserting data into the DB
[INFO] - 2021-08-09 08:53:55,976 - Inserting data into the DB
[INFO] - 2021-08-09 08:53:55,976 - Inserting data into the DB
