[INFO] - 2021-08-04 05:10:52,807 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:10:53,073 - The database is cleaned
[INFO] - 2021-08-04 05:10:53,215 - 0 tickers got from the DB
[INFO] - 2021-08-04 05:10:53,215 - All tickers are deleted from the DB
[INFO] - 2021-08-04 05:10:53,307 - 509 tickers inserted in DB
[INFO] - 2021-08-04 05:10:53,308 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:10:53,308 - Reading data from Yahoo Finance
[INFO] - 2021-08-04 05:10:56,800 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:10:56,800 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:10:56,875 - The database is cleaned
[INFO] - 2021-08-04 05:10:56,875 - The database is cleaned
[INFO] - 2021-08-04 05:10:56,933 - 0 tickers got from the DB
[INFO] - 2021-08-04 05:10:56,933 - 0 tickers got from the DB
[INFO] - 2021-08-04 05:10:56,933 - All tickers are deleted from the DB
[INFO] - 2021-08-04 05:10:56,933 - All tickers are deleted from the DB
[INFO] - 2021-08-04 05:10:57,024 - 509 tickers inserted in DB
[INFO] - 2021-08-04 05:10:57,024 - 509 tickers inserted in DB
[INFO] - 2021-08-04 05:10:57,025 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:10:57,025 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:10:57,025 - Reading data from Yahoo Finance
[INFO] - 2021-08-04 05:10:57,025 - Reading data from Yahoo Finance
[INFO] - 2021-08-04 05:13:12,791 - YFinance data load call. Start date: 2021-07-05. Finish date: 2021-08-04
[INFO] - 2021-08-04 05:13:12,791 - YFinance data load call. Start date: 2021-07-05. Finish date: 2021-08-04
[INFO] - 2021-08-04 05:13:12,793 - YFinance data load call. Start date: 2021-07-05. Finish date: 2021-08-04
[INFO] - 2021-08-04 05:13:12,793 - YFinance data load call. Start date: 2021-07-05. Finish date: 2021-08-04
[INFO] - 2021-08-04 05:13:12,838 - Inserting data into the DB
[INFO] - 2021-08-04 05:13:12,838 - Inserting data into the DB
[INFO] - 2021-08-04 05:13:12,993 - Inserting data into the DB
[INFO] - 2021-08-04 05:13:12,993 - Inserting data into the DB
[INFO] - 2021-08-04 05:25:05,782 - 508 tickers got from the DB
[INFO] - 2021-08-04 05:25:05,782 - 508 tickers got from the DB
