[INFO] - 2021-08-05 10:38:29,173 - 1 tickers got from the DB
[INFO] - 2021-08-05 10:40:20,634 - 1 tickers got from the DB
[INFO] - 2021-08-05 10:40:20,816 - The database is cleaned
[INFO] - 2021-08-05 10:40:20,866 - 0 tickers got from the DB
[INFO] - 2021-08-05 10:40:20,866 - All tickers are deleted from the DB
[INFO] - 2021-08-05 10:40:20,915 - 12 tickers inserted in DB
[INFO] - 2021-08-05 10:40:20,915 - 12 tickers got from the DB
[INFO] - 2021-08-05 10:40:20,916 - Reading data from Yahoo Finance
[INFO] - 2021-08-05 10:40:24,469 - YFinance data load call. Start date: 2016-08-31. Finish date: 2021-08-05
[INFO] - 2021-08-05 10:40:24,471 - Inserting data into the DB
[INFO] - 2021-08-05 10:40:25,318 - 12 tickers got from the DB
[INFO] - 2021-08-05 10:40:25,563 - The database is cleaned
[INFO] - 2021-08-05 10:40:25,619 - 0 tickers got from the DB
[INFO] - 2021-08-05 10:40:25,619 - All tickers are deleted from the DB
[INFO] - 2021-08-05 10:40:25,669 - 1 tickers inserted in DB
[INFO] - 2021-08-05 10:40:25,670 - 1 tickers got from the DB
[INFO] - 2021-08-05 10:40:25,670 - Reading data from Yahoo Finance
[INFO] - 2021-08-05 10:40:26,376 - YFinance data load call. Start date: 2016-08-31. Finish date: 2021-08-05
[INFO] - 2021-08-05 10:40:26,377 - Inserting data into the DB
