[INFO] - 2021-08-05 12:58:06,837 - 31 tickers got from the DB
[INFO] - 2021-08-05 12:58:07,518 - The database is cleaned
[INFO] - 2021-08-05 12:58:07,580 - 0 tickers got from the DB
[INFO] - 2021-08-05 12:58:07,580 - All tickers are deleted from the DB
[INFO] - 2021-08-05 12:58:07,665 - 8 tickers inserted in DB
[INFO] - 2021-08-05 12:58:07,665 - 8 tickers got from the DB
[INFO] - 2021-08-05 12:58:07,665 - Reading data from Yahoo Finance
[INFO] - 2021-08-05 12:58:09,522 - YFinance data load call. Start date: 2016-08-31. Finish date: 2021-08-05
[INFO] - 2021-08-05 12:58:09,524 - Inserting data into the DB
