[INFO] - 2021-07-31 10:54:08,615 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:54:36,731 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:54:36,731 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:54:37,276 - The database is cleaned
[INFO] - 2021-07-31 10:54:37,276 - The database is cleaned
[INFO] - 2021-07-31 10:54:37,332 - 0 tickers got from the DB
[INFO] - 2021-07-31 10:54:37,332 - 0 tickers got from the DB
[INFO] - 2021-07-31 10:54:37,332 - All tickers are deleted from the DB
[INFO] - 2021-07-31 10:54:37,332 - All tickers are deleted from the DB
[INFO] - 2021-07-31 10:54:37,389 - 19 tickers inserted in DB
[INFO] - 2021-07-31 10:54:37,389 - 19 tickers inserted in DB
[INFO] - 2021-07-31 10:54:37,389 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:54:37,389 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:54:37,389 - Reading data from Yahoo Finance
[INFO] - 2021-07-31 10:54:37,389 - Reading data from Yahoo Finance
[INFO] - 2021-07-31 10:54:41,135 - YFinance data load call. Start date: 2016-08-26. Finish date: 2021-07-31
[INFO] - 2021-07-31 10:54:41,135 - YFinance data load call. Start date: 2016-08-26. Finish date: 2021-07-31
[INFO] - 2021-07-31 10:54:41,137 - Inserting data into the DB
[INFO] - 2021-07-31 10:54:41,137 - Inserting data into the DB
[INFO] - 2021-07-31 10:56:00,742 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:56:00,742 - 19 tickers got from the DB
