[INFO] - 2021-07-30 08:00:01,371 - 508 tickers got from the DB
[INFO] - 2021-07-30 08:00:03,327 - The database is cleaned
[INFO] - 2021-07-30 08:00:03,401 - 0 tickers got from the DB
[INFO] - 2021-07-30 08:00:03,401 - All tickers are deleted from the DB
[INFO] - 2021-07-30 08:00:03,451 - 29 tickers inserted in DB
[INFO] - 2021-07-30 08:00:03,451 - 29 tickers got from the DB
[INFO] - 2021-07-30 08:00:03,451 - Reading data from Yahoo Finance
[INFO] - 2021-07-30 08:00:09,411 - YFinance data load call. Start date: 2016-08-25. Finish date: 2021-07-30
[INFO] - 2021-07-30 08:00:09,415 - Inserting data into the DB
