[INFO] - 2021-07-22 07:43:37,741 - 12 tickers got from the DB
[INFO] - 2021-07-22 07:44:02,697 - 12 tickers got from the DB
[INFO] - 2021-07-22 07:44:03,134 - The database is cleaned
[INFO] - 2021-07-22 07:44:03,191 - 0 tickers got from the DB
[INFO] - 2021-07-22 07:44:03,191 - All tickers are deleted from the DB
[INFO] - 2021-07-22 07:44:03,248 - 30 tickers inserted in DB
[INFO] - 2021-07-22 07:44:03,248 - 30 tickers got from the DB
[INFO] - 2021-07-22 07:44:03,248 - Reading data from Yahoo Finance
[INFO] - 2021-07-22 07:44:09,506 - YFinance data load call. Start date: 2016-08-17. Finish date: 2021-07-22
[INFO] - 2021-07-22 07:44:09,509 - Inserting data into the DB
