[INFO] - 2021-07-28 04:46:17,307 - 20 tickers got from the DB
[INFO] - 2021-07-28 04:46:56,045 - 20 tickers got from the DB
[INFO] - 2021-07-28 04:46:56,045 - 20 tickers got from the DB
[INFO] - 2021-07-28 04:46:56,925 - The database is cleaned
[INFO] - 2021-07-28 04:46:56,925 - The database is cleaned
[INFO] - 2021-07-28 04:46:56,982 - 0 tickers got from the DB
[INFO] - 2021-07-28 04:46:56,982 - 0 tickers got from the DB
[INFO] - 2021-07-28 04:46:56,982 - All tickers are deleted from the DB
[INFO] - 2021-07-28 04:46:56,982 - All tickers are deleted from the DB
[INFO] - 2021-07-28 04:46:57,033 - 12 tickers inserted in DB
[INFO] - 2021-07-28 04:46:57,033 - 12 tickers inserted in DB
[INFO] - 2021-07-28 04:46:57,034 - 12 tickers got from the DB
[INFO] - 2021-07-28 04:46:57,034 - 12 tickers got from the DB
[INFO] - 2021-07-28 04:46:57,034 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 04:46:57,034 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 04:47:00,189 - YFinance data load call. Start date: 2016-08-23. Finish date: 2021-07-28
[INFO] - 2021-07-28 04:47:00,189 - YFinance data load call. Start date: 2016-08-23. Finish date: 2021-07-28
[INFO] - 2021-07-28 04:47:00,190 - Inserting data into the DB
[INFO] - 2021-07-28 04:47:00,190 - Inserting data into the DB
