[INFO] - 2021-07-26 07:28:59,832 - 12 tickers got from the DB
[INFO] - 2021-07-26 07:29:00,140 - The database is cleaned
[INFO] - 2021-07-26 07:29:00,195 - 0 tickers got from the DB
[INFO] - 2021-07-26 07:29:00,195 - All tickers are deleted from the DB
[INFO] - 2021-07-26 07:29:00,262 - 515 tickers inserted in DB
[INFO] - 2021-07-26 07:29:00,263 - 514 tickers got from the DB
[INFO] - 2021-07-26 07:29:00,263 - Reading data from Yahoo Finance
[INFO] - 2021-07-26 07:29:04,874 - 514 tickers got from the DB
[INFO] - 2021-07-26 07:29:04,932 - The database is cleaned
[INFO] - 2021-07-26 07:29:04,989 - 0 tickers got from the DB
[INFO] - 2021-07-26 07:29:04,989 - All tickers are deleted from the DB
[INFO] - 2021-07-26 07:29:05,176 - 515 tickers inserted in DB
[INFO] - 2021-07-26 07:29:05,204 - 514 tickers got from the DB
[INFO] - 2021-07-26 07:29:05,204 - Reading data from Yahoo Finance
