[INFO] - 2021-08-03 06:02:44,052 - 31 tickers got from the DB
[INFO] - 2021-08-03 06:03:02,300 - 31 tickers got from the DB
[INFO] - 2021-08-03 06:03:05,282 - The database is cleaned
[INFO] - 2021-08-03 06:03:05,363 - 0 tickers got from the DB
[INFO] - 2021-08-03 06:03:05,365 - All tickers are deleted from the DB
[INFO] - 2021-08-03 06:03:05,492 - 25 tickers inserted in DB
[INFO] - 2021-08-03 06:03:05,493 - 25 tickers got from the DB
[INFO] - 2021-08-03 06:03:05,493 - Reading data from Yahoo Finance
[INFO] - 2021-08-03 06:03:10,607 - YFinance data load call. Start date: 2016-08-29. Finish date: 2021-08-03
[INFO] - 2021-08-03 06:03:10,610 - Inserting data into the DB
