[INFO] - 2021-08-03 14:26:37,949 - 10 tickers got from the DB
[INFO] - 2021-08-03 14:27:08,326 - 10 tickers got from the DB
[INFO] - 2021-08-03 14:27:08,702 - The database is cleaned
[INFO] - 2021-08-03 14:27:08,758 - 0 tickers got from the DB
[INFO] - 2021-08-03 14:27:08,758 - All tickers are deleted from the DB
[INFO] - 2021-08-03 14:27:08,816 - 13 tickers inserted in DB
[INFO] - 2021-08-03 14:27:08,816 - 13 tickers got from the DB
[INFO] - 2021-08-03 14:27:08,816 - Reading data from Yahoo Finance
[INFO] - 2021-08-03 14:27:12,521 - YFinance data load call. Start date: 2016-08-29. Finish date: 2021-08-03
[INFO] - 2021-08-03 14:27:12,524 - Inserting data into the DB
