[INFO] - 2021-07-21 12:37:19,888 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:37:20,001 - 0 tickers got from the DB
[INFO] - 2021-07-21 12:37:20,001 - All tickers are deleted from the DB
[INFO] - 2021-07-21 12:37:20,085 - 26 tickers inserted in DB
[INFO] - 2021-07-21 12:37:20,085 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:40:48,595 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:40:48,664 - 0 tickers got from the DB
[INFO] - 2021-07-21 12:40:48,665 - All tickers are deleted from the DB
[INFO] - 2021-07-21 12:40:48,714 - 26 tickers inserted in DB
[INFO] - 2021-07-21 12:40:48,715 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:40:58,624 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:40:58,678 - 0 tickers got from the DB
[INFO] - 2021-07-21 12:40:58,678 - All tickers are deleted from the DB
[INFO] - 2021-07-21 12:40:58,729 - 26 tickers inserted in DB
[INFO] - 2021-07-21 12:40:58,729 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:41:10,669 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:41:10,734 - 0 tickers got from the DB
[INFO] - 2021-07-21 12:41:10,735 - All tickers are deleted from the DB
[INFO] - 2021-07-21 12:41:10,783 - 26 tickers inserted in DB
[INFO] - 2021-07-21 12:41:10,784 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:41:54,447 - 25 tickers got from the DB
[INFO] - 2021-07-21 12:41:54,509 - 0 tickers got from the DB
[INFO] - 2021-07-21 12:41:54,510 - All tickers are deleted from the DB
[INFO] - 2021-07-21 12:41:54,568 - 26 tickers inserted in DB
[INFO] - 2021-07-21 12:41:54,568 - 25 tickers got from the DB
