[INFO] - 2021-07-26 09:04:13,566 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:04:17,594 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:04:17,594 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:04:49,623 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:04:57,180 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:04:59,174 - The database is cleaned
[INFO] - 2021-07-26 09:04:59,243 - 0 tickers got from the DB
[INFO] - 2021-07-26 09:04:59,243 - All tickers are deleted from the DB
[INFO] - 2021-07-26 09:04:59,321 - 515 tickers inserted in DB
[INFO] - 2021-07-26 09:04:59,322 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:05:06,107 - 514 tickers got from the DB
[INFO] - 2021-07-26 09:05:06,171 - The database is cleaned
[INFO] - 2021-07-26 09:05:06,221 - 0 tickers got from the DB
[INFO] - 2021-07-26 09:05:06,221 - All tickers are deleted from the DB
[INFO] - 2021-07-26 09:05:06,288 - 515 tickers inserted in DB
[INFO] - 2021-07-26 09:05:06,288 - 514 tickers got from the DB
