[INFO] - 2021-08-02 16:45:24,538 - 30 tickers got from the DB
[INFO] - 2021-08-02 16:45:25,136 - The database is cleaned
[INFO] - 2021-08-02 16:45:25,184 - 0 tickers got from the DB
[INFO] - 2021-08-02 16:45:25,184 - All tickers are deleted from the DB
[INFO] - 2021-08-02 16:45:25,275 - 509 tickers inserted in DB
[INFO] - 2021-08-02 16:45:25,276 - 508 tickers got from the DB
[INFO] - 2021-08-02 16:45:25,276 - Reading data from Yahoo Finance
[INFO] - 2021-08-02 16:45:28,495 - 508 tickers got from the DB
[INFO] - 2021-08-02 16:45:28,495 - 508 tickers got from the DB
[INFO] - 2021-08-02 16:45:28,553 - The database is cleaned
[INFO] - 2021-08-02 16:45:28,553 - The database is cleaned
[INFO] - 2021-08-02 16:45:28,632 - 0 tickers got from the DB
[INFO] - 2021-08-02 16:45:28,632 - 0 tickers got from the DB
[INFO] - 2021-08-02 16:45:28,633 - All tickers are deleted from the DB
[INFO] - 2021-08-02 16:45:28,633 - All tickers are deleted from the DB
[INFO] - 2021-08-02 16:45:28,726 - 509 tickers inserted in DB
[INFO] - 2021-08-02 16:45:28,726 - 509 tickers inserted in DB
[INFO] - 2021-08-02 16:45:28,728 - 508 tickers got from the DB
[INFO] - 2021-08-02 16:45:28,728 - 508 tickers got from the DB
[INFO] - 2021-08-02 16:45:28,729 - Reading data from Yahoo Finance
[INFO] - 2021-08-02 16:45:28,729 - Reading data from Yahoo Finance
