[INFO] - 2021-07-31 10:56:00,742 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:56:43,973 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:57:13,740 - 19 tickers got from the DB
[INFO] - 2021-07-31 10:57:14,316 - The database is cleaned
[INFO] - 2021-07-31 10:57:14,365 - 0 tickers got from the DB
[INFO] - 2021-07-31 10:57:14,365 - All tickers are deleted from the DB
[INFO] - 2021-07-31 10:57:14,415 - 12 tickers inserted in DB
[INFO] - 2021-07-31 10:57:14,416 - 12 tickers got from the DB
[INFO] - 2021-07-31 10:57:14,416 - Reading data from Yahoo Finance
[INFO] - 2021-07-31 10:57:17,188 - YFinance data load call. Start date: 2016-08-26. Finish date: 2021-07-31
[INFO] - 2021-07-31 10:57:17,190 - Inserting data into the DB
[INFO] - 2021-07-31 10:57:41,147 - 12 tickers got from the DB
[INFO] - 2021-07-31 10:58:12,236 - 12 tickers got from the DB
[INFO] - 2021-07-31 10:58:12,624 - The database is cleaned
[INFO] - 2021-07-31 10:58:12,682 - 0 tickers got from the DB
[INFO] - 2021-07-31 10:58:12,682 - All tickers are deleted from the DB
[INFO] - 2021-07-31 10:58:12,740 - 11 tickers inserted in DB
[INFO] - 2021-07-31 10:58:12,741 - 11 tickers got from the DB
[INFO] - 2021-07-31 10:58:12,741 - Reading data from Yahoo Finance
[INFO] - 2021-07-31 10:58:15,759 - YFinance data load call. Start date: 2016-08-26. Finish date: 2021-07-31
[INFO] - 2021-07-31 10:58:15,760 - Inserting data into the DB
