[INFO] - 2021-08-01 11:16:30,472 - 508 tickers got from the DB
[INFO] - 2021-08-01 11:17:03,109 - 508 tickers got from the DB
[INFO] - 2021-08-01 11:17:03,519 - The database is cleaned
[INFO] - 2021-08-01 11:17:03,599 - 0 tickers got from the DB
[INFO] - 2021-08-01 11:17:03,599 - All tickers are deleted from the DB
[INFO] - 2021-08-01 11:17:03,665 - 30 tickers inserted in DB
[INFO] - 2021-08-01 11:17:03,665 - 30 tickers got from the DB
[INFO] - 2021-08-01 11:17:03,666 - Reading data from Yahoo Finance
[INFO] - 2021-08-01 11:17:10,151 - YFinance data load call. Start date: 2016-08-27. Finish date: 2021-08-01
[INFO] - 2021-08-01 11:17:10,154 - Inserting data into the DB
