[INFO] - 2021-07-26 06:09:40,659 - 512 tickers got from the DB
[INFO] - 2021-07-26 06:09:48,484 - The database is cleaned
[INFO] - 2021-07-26 06:09:48,555 - 0 tickers got from the DB
[INFO] - 2021-07-26 06:09:48,555 - All tickers are deleted from the DB
[INFO] - 2021-07-26 06:09:48,604 - 12 tickers inserted in DB
[INFO] - 2021-07-26 06:09:48,604 - 12 tickers got from the DB
[INFO] - 2021-07-26 06:09:48,604 - Reading data from Yahoo Finance
[INFO] - 2021-07-26 06:09:51,246 - YFinance data load call. Start date: 2016-08-21. Finish date: 2021-07-26
[INFO] - 2021-07-26 06:09:51,248 - Inserting data into the DB
