[INFO] - 2021-07-28 16:58:21,287 - 29 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,521 - 29 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,521 - 29 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,784 - The database is cleaned
[INFO] - 2021-07-28 16:58:49,784 - The database is cleaned
[INFO] - 2021-07-28 16:58:49,859 - 0 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,859 - 0 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,859 - All tickers are deleted from the DB
[INFO] - 2021-07-28 16:58:49,859 - All tickers are deleted from the DB
[INFO] - 2021-07-28 16:58:49,909 - 12 tickers inserted in DB
[INFO] - 2021-07-28 16:58:49,909 - 12 tickers inserted in DB
[INFO] - 2021-07-28 16:58:49,909 - 12 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,909 - 12 tickers got from the DB
[INFO] - 2021-07-28 16:58:49,910 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 16:58:49,910 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 16:58:51,811 - YFinance data load call. Start date: 2021-07-18. Finish date: 2021-07-28
[INFO] - 2021-07-28 16:58:51,811 - YFinance data load call. Start date: 2021-07-18. Finish date: 2021-07-28
[INFO] - 2021-07-28 16:58:51,813 - Inserting data into the DB
[INFO] - 2021-07-28 16:58:51,813 - Inserting data into the DB
[INFO] - 2021-07-28 16:59:56,887 - 12 tickers got from the DB
[INFO] - 2021-07-28 16:59:56,887 - 12 tickers got from the DB
[INFO] - 2021-07-28 17:00:04,042 - 12 tickers got from the DB
[INFO] - 2021-07-28 17:00:04,042 - 12 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,514 - 12 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,514 - 12 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,626 - The database is cleaned
[INFO] - 2021-07-28 17:00:26,626 - The database is cleaned
[INFO] - 2021-07-28 17:00:26,677 - 0 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,677 - 0 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,678 - All tickers are deleted from the DB
[INFO] - 2021-07-28 17:00:26,678 - All tickers are deleted from the DB
[INFO] - 2021-07-28 17:00:26,727 - 19 tickers inserted in DB
[INFO] - 2021-07-28 17:00:26,727 - 19 tickers inserted in DB
[INFO] - 2021-07-28 17:00:26,728 - 18 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,728 - 18 tickers got from the DB
[INFO] - 2021-07-28 17:00:26,728 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 17:00:26,728 - Reading data from Yahoo Finance
