[INFO] - 2021-07-28 05:00:42,971 - 512 tickers got from the DB
[INFO] - 2021-07-28 05:00:43,049 - The database is cleaned
[INFO] - 2021-07-28 05:00:43,115 - 0 tickers got from the DB
[INFO] - 2021-07-28 05:00:43,116 - All tickers are deleted from the DB
[INFO] - 2021-07-28 05:00:43,234 - 513 tickers inserted in DB
[INFO] - 2021-07-28 05:00:43,235 - 512 tickers got from the DB
[INFO] - 2021-07-28 05:00:43,235 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 05:01:40,480 - 512 tickers got from the DB
[INFO] - 2021-07-28 05:02:08,357 - 512 tickers got from the DB
[INFO] - 2021-07-28 05:02:08,547 - The database is cleaned
[INFO] - 2021-07-28 05:02:08,604 - 0 tickers got from the DB
[INFO] - 2021-07-28 05:02:08,604 - All tickers are deleted from the DB
[INFO] - 2021-07-28 05:02:08,678 - 20 tickers inserted in DB
[INFO] - 2021-07-28 05:02:08,679 - 20 tickers got from the DB
[INFO] - 2021-07-28 05:02:08,679 - Reading data from Yahoo Finance
[INFO] - 2021-07-28 05:02:14,472 - YFinance data load call. Start date: 2021-07-26. Finish date: 2021-07-28
[INFO] - 2021-07-28 05:02:14,473 - Inserting data into the DB
[ERROR] - 2021-07-28 05:02:14,474 - Error while loading data using YFinance. 'AFLT.ME'
